top,bottom,cue,prompt
1042_MEDLOW.jpg,1052_LOW.jpg,1,0
554_MEDLOW.jpg,1393_LOW.jpg,0,1
471_MEDLOW.jpg,1401_LOW.jpg,3,0
1208_MEDLOW.jpg,296_LOW.jpg,2,1
1_MEDLOW.jpg,938_LOW.jpg,1,0
686_MEDLOW.jpg,622_LOW.jpg,0,1
532_MEDLOW.jpg,731_LOW.jpg,3,0
653_MEDLOW.jpg,115_LOW.jpg,2,1
484_MEDLOW.jpg,878_LOW.jpg,1,0
225_MEDLOW.jpg,1149_MEDHIGH.jpg,3,0
692_MEDLOW.jpg,286_MEDHIGH.jpg,2,1
359_MEDLOW.jpg,306_MEDHIGH.jpg,1,0
761_MEDLOW.jpg,1408_MEDHIGH.jpg,0,1
949_MEDLOW.jpg,1338_MEDHIGH.jpg,3,0
1293_MEDLOW.jpg,64_MEDHIGH.jpg,2,1
438_MEDLOW.jpg,230_MEDHIGH.jpg,1,0
61_MEDLOW.jpg,592_MEDHIGH.jpg,0,1
960_MEDLOW.jpg,220_MEDHIGH.jpg,3,0
777_MEDLOW.jpg,725_MEDHIGH.jpg,2,1
657_MEDLOW.jpg,1125_MEDHIGH.jpg,1,0
555_MEDLOW.jpg,1382_MEDHIGH.jpg,0,1
320_MEDLOW.jpg,441_MEDHIGH.jpg,3,0
578_MEDLOW.jpg,650_MEDHIGH.jpg,2,1
1044_MEDLOW.jpg,925_MEDHIGH.jpg,1,0
829_MEDLOW.jpg,318_MEDHIGH.jpg,0,1
1073_MEDLOW.jpg,269_MEDHIGH.jpg,3,0
499_MEDLOW.jpg,1186_MEDHIGH.jpg,2,1
908_MEDLOW.jpg,837_MEDHIGH.jpg,1,0
769_MEDLOW.jpg,352_MEDHIGH.jpg,0,1
1267_MEDLOW.jpg,97_MEDHIGH.jpg,3,0
310_MEDLOW.jpg,307_MEDHIGH.jpg,2,1
1063_MEDLOW.jpg,366_MEDHIGH.jpg,1,0
1029_MEDLOW.jpg,19_MEDHIGH.jpg,0,1
1397_MEDLOW.jpg,466_MEDHIGH.jpg,3,0
48_MEDLOW.jpg,631_MEDHIGH.jpg,2,1
749_MEDLOW.jpg,547_MEDHIGH.jpg,1,0
154_MEDLOW.jpg,1400_MEDHIGH.jpg,0,1
1102_MEDLOW.jpg,602_MEDHIGH.jpg,3,0
1099_MEDLOW.jpg,221_MEDHIGH.jpg,2,1
252_MEDLOW.jpg,1162_MEDHIGH.jpg,1,0
1068_MEDLOW.jpg,1137_MEDHIGH.jpg,0,1
1199_MEDLOW.jpg,364_MEDHIGH.jpg,3,0
1321_MEDLOW.jpg,249_MEDHIGH.jpg,2,1
788_MEDLOW.jpg,1327_MEDHIGH.jpg,1,0
1027_MEDLOW.jpg,188_MEDHIGH.jpg,0,1
1000_MEDLOW.jpg,590_MEDHIGH.jpg,3,0
774_MEDLOW.jpg,341_MEDHIGH.jpg,2,1
845_MEDLOW.jpg,357_MEDHIGH.jpg,1,0
